"","par.index","estimate","se","fixed","note","group","cohort","age","time","occ","occ.cohort","stratum","tostratum","Cohort","Age","Time","stock","sex","A","B","X","toA","toB","toX"
"Psi sX toB gUnalakleetF c3 a0 o3 t3",324,0.861470893639752,0.123341562518268,"     ","","UnalakleetF","3","0","3",3,3,"X","B",2,0,2,"Unalakleet","F",0,0,1,0,1,0
"Psi sA toB gShaktoolikM c1 a0 o1 t1",325,0.245236453975984,0.0338998652743409,"     ","","ShaktoolikM","1","0","1",1,1,"A","B",0,0,0,"Shaktoolik","M",1,0,0,0,1,0
"Psi sA toB gShaktoolikM c1 a1 o2 t2",326,0.109294024985572,0.0294438805220219,"     ","","ShaktoolikM","1","1","2",2,1,"A","B",0,1,1,"Shaktoolik","M",1,0,0,0,1,0
"Psi sA toB gShaktoolikM c1 a2 o3 t3",327,0.0374088332579173,0.0356911379797049,"     ","","ShaktoolikM","1","2","3",3,1,"A","B",0,2,2,"Shaktoolik","M",1,0,0,0,1,0
"Psi sA toB gShaktoolikM c2 a0 o2 t2",328,0.109294024985572,0.0294438805220219,"     ","","ShaktoolikM","2","0","2",2,2,"A","B",1,0,1,"Shaktoolik","M",1,0,0,0,1,0
"Psi sA toB gShaktoolikM c2 a1 o3 t3",329,0.0374088332579173,0.0356911379797049,"     ","","ShaktoolikM","2","1","3",3,2,"A","B",1,1,2,"Shaktoolik","M",1,0,0,0,1,0
"Psi sA toB gShaktoolikM c3 a0 o3 t3",330,0.0374088332579173,0.0356911379797049,"     ","","ShaktoolikM","3","0","3",3,3,"A","B",2,0,2,"Shaktoolik","M",1,0,0,0,1,0
"Psi sA toX gShaktoolikM c1 a0 o1 t1",331,0.0356672976345205,0.00647648967672525,"     ","","ShaktoolikM","1","0","1",1,1,"A","X",0,0,0,"Shaktoolik","M",1,0,0,0,0,1
"Psi sA toX gShaktoolikM c1 a1 o2 t2",332,0.0158957704157247,0.00428525124049382,"     ","","ShaktoolikM","1","1","2",2,1,"A","X",0,1,1,"Shaktoolik","M",1,0,0,0,0,1
"Psi sA toX gShaktoolikM c1 a2 o3 t3",333,0.0054407574371762,0.00491011898338376,"     ","","ShaktoolikM","1","2","3",3,1,"A","X",0,2,2,"Shaktoolik","M",1,0,0,0,0,1
"Psi sA toX gShaktoolikM c2 a0 o2 t2",334,0.0158957704157247,0.00428525124049382,"     ","","ShaktoolikM","2","0","2",2,2,"A","X",1,0,1,"Shaktoolik","M",1,0,0,0,0,1
"Psi sA toX gShaktoolikM c2 a1 o3 t3",335,0.0054407574371762,0.00491011898338376,"     ","","ShaktoolikM","2","1","3",3,2,"A","X",1,1,2,"Shaktoolik","M",1,0,0,0,0,1
"Psi sA toX gShaktoolikM c3 a0 o3 t3",336,0.0054407574371762,0.00491011898338376,"     ","","ShaktoolikM","3","0","3",3,3,"A","X",2,0,2,"Shaktoolik","M",1,0,0,0,0,1
"Psi sB toA gShaktoolikM c1 a0 o1 t1",337,0.00331780178679858,0.000981564127986623,"     ","","ShaktoolikM","1","0","1",1,1,"B","A",0,0,0,"Shaktoolik","M",0,1,0,1,0,0
"Psi sB toA gShaktoolikM c1 a1 o2 t2",338,0.00122010170623624,0.000438117896575814,"     ","","ShaktoolikM","1","1","2",2,1,"B","A",0,1,1,"Shaktoolik","M",0,1,0,1,0,0
"Psi sB toA gShaktoolikM c1 a2 o3 t3",339,0.000382257161945124,0.000348926679035981,"     ","","ShaktoolikM","1","2","3",3,1,"B","A",0,2,2,"Shaktoolik","M",0,1,0,1,0,0
"Psi sB toA gShaktoolikM c2 a0 o2 t2",340,0.00122010170623624,0.000438117896575814,"     ","","ShaktoolikM","2","0","2",2,2,"B","A",1,0,1,"Shaktoolik","M",0,1,0,1,0,0
"Psi sB toA gShaktoolikM c2 a1 o3 t3",341,0.000382257161945124,0.000348926679035981,"     ","","ShaktoolikM","2","1","3",3,2,"B","A",1,1,2,"Shaktoolik","M",0,1,0,1,0,0
"Psi sB toA gShaktoolikM c3 a0 o3 t3",342,0.000382257161945124,0.000348926679035981,"     ","","ShaktoolikM","3","0","3",3,3,"B","A",2,0,2,"Shaktoolik","M",0,1,0,1,0,0
"Psi sB toX gShaktoolikM c1 a0 o1 t1",343,0.00300078748407959,0.00102127499044571,"     ","","ShaktoolikM","1","0","1",1,1,"B","X",0,0,0,"Shaktoolik","M",0,1,0,0,0,1
"Psi sB toX gShaktoolikM c1 a1 o2 t2",344,0.00110352161527674,0.000488481415468134,"     ","","ShaktoolikM","1","1","2",2,1,"B","X",0,1,1,"Shaktoolik","M",0,1,0,0,0,1
"Psi sB toX gShaktoolikM c1 a2 o3 t3",345,0.000345732706772818,0.00035237242746698,"     ","","ShaktoolikM","1","2","3",3,1,"B","X",0,2,2,"Shaktoolik","M",0,1,0,0,0,1
"Psi sB toX gShaktoolikM c2 a0 o2 t2",346,0.00110352161527674,0.000488481415468134,"     ","","ShaktoolikM","2","0","2",2,2,"B","X",1,0,1,"Shaktoolik","M",0,1,0,0,0,1
"Psi sB toX gShaktoolikM c2 a1 o3 t3",347,0.000345732706772818,0.00035237242746698,"     ","","ShaktoolikM","2","1","3",3,2,"B","X",1,1,2,"Shaktoolik","M",0,1,0,0,0,1
"Psi sB toX gShaktoolikM c3 a0 o3 t3",348,0.000345732706772818,0.00035237242746698,"     ","","ShaktoolikM","3","0","3",3,3,"B","X",2,0,2,"Shaktoolik","M",0,1,0,0,0,1
"Psi sX toA gShaktoolikM c1 a0 o1 t1",349,0.138529106354861,0.0300639860907842,"     ","","ShaktoolikM","1","0","1",1,1,"X","A",0,0,0,"Shaktoolik","M",0,0,1,1,0,0
"Psi sX toA gShaktoolikM c1 a1 o2 t2",350,0.138529106351818,0.231165081912278,"     ","","ShaktoolikM","1","1","2",2,1,"X","A",0,1,1,"Shaktoolik","M",0,0,1,1,0,0
"Psi sX toA gShaktoolikM c1 a2 o3 t3",351,0.138529106341351,0.190773096685615,"     ","","ShaktoolikM","1","2","3",3,1,"X","A",0,2,2,"Shaktoolik","M",0,0,1,1,0,0
"Psi sX toA gShaktoolikM c2 a0 o2 t2",352,0.138529106351818,0.231165081912278,"     ","","ShaktoolikM","2","0","2",2,2,"X","A",1,0,1,"Shaktoolik","M",0,0,1,1,0,0
"Psi sX toA gShaktoolikM c2 a1 o3 t3",353,0.138529106341351,0.190773096685615,"     ","","ShaktoolikM","2","1","3",3,2,"X","A",1,1,2,"Shaktoolik","M",0,0,1,1,0,0
"Psi sX toA gShaktoolikM c3 a0 o3 t3",354,0.138529106341351,0.190773096685615,"     ","","ShaktoolikM","3","0","3",3,3,"X","A",2,0,2,"Shaktoolik","M",0,0,1,1,0,0
"Psi sX toB gShaktoolikM c1 a0 o1 t1",355,0.861470893632405,0.0286556709296451,"     ","","ShaktoolikM","1","0","1",1,1,"X","B",0,0,0,"Shaktoolik","M",0,0,1,0,1,0
"Psi sX toB gShaktoolikM c1 a1 o2 t2",356,0.861470893613477,0.2331913640159,"     ","","ShaktoolikM","1","1","2",2,1,"X","B",0,1,1,"Shaktoolik","M",0,0,1,0,1,0
"Psi sX toB gShaktoolikM c1 a2 o3 t3",357,0.861470893548387,0.190348313906095,"     ","","ShaktoolikM","1","2","3",3,1,"X","B",0,2,2,"Shaktoolik","M",0,0,1,0,1,0
"Psi sX toB gShaktoolikM c2 a0 o2 t2",358,0.861470893613477,0.2331913640159,"     ","","ShaktoolikM","2","0","2",2,2,"X","B",1,0,1,"Shaktoolik","M",0,0,1,0,1,0
"Psi sX toB gShaktoolikM c2 a1 o3 t3",359,0.861470893548387,0.190348313906095,"     ","","ShaktoolikM","2","1","3",3,2,"X","B",1,1,2,"Shaktoolik","M",0,0,1,0,1,0
"Psi sX toB gShaktoolikM c3 a0 o3 t3",360,0.861470893548387,0.190348313906095,"     ","","ShaktoolikM","3","0","3",3,3,"X","B",2,0,2,"Shaktoolik","M",0,0,1,0,1,0
"Psi sA toB gTransitoryM c1 a0 o1 t1",361,0.872691389289076,0.0232679021476975,"     ","","TransitoryM","1","0","1",1,1,"A","B",0,0,0,"Transitory","M",1,0,0,0,1,0
"Psi sA toB gTransitoryM c1 a1 o2 t2",362,0.872112163395219,0.0230185364656533,"     ","","TransitoryM","1","1","2",2,1,"A","B",0,1,1,"Transitory","M",1,0,0,0,1,0
"Psi sA toB gTransitoryM c1 a2 o3 t3",363,0.870111160212065,0.0225602502129953,"     ","","TransitoryM","1","2","3",3,1,"A","B",0,2,2,"Transitory","M",1,0,0,0,1,0
"Psi sA toB gTransitoryM c2 a0 o2 t2",364,0.872112163395219,0.0230185364656533,"     ","","TransitoryM","2","0","2",2,2,"A","B",1,0,1,"Transitory","M",1,0,0,0,1,0
"Psi sA toB gTransitoryM c2 a1 o3 t3",365,0.870111160212065,0.0225602502129953,"     ","","TransitoryM","2","1","3",3,2,"A","B",1,1,2,"Transitory","M",1,0,0,0,1,0
"Psi sA toB gTransitoryM c3 a0 o3 t3",366,0.870111160212065,0.0225602502129953,"     ","","TransitoryM","3","0","3",3,3,"A","B",2,0,2,"Transitory","M",1,0,0,0,1,0
"Psi sA toX gTransitoryM c1 a0 o1 t1",367,0.12692465937491,0.0234487939655426,"     ","","TransitoryM","1","0","1",1,1,"A","X",0,0,0,"Transitory","M",1,0,0,0,0,1
"Psi sA toX gTransitoryM c1 a1 o2 t2",368,0.126840416455995,0.0234675290850075,"     ","","TransitoryM","1","1","2",2,1,"A","X",0,1,1,"Transitory","M",1,0,0,0,0,1
"Psi sA toX gTransitoryM c1 a2 o3 t3",369,0.126549389547371,0.0235032432108395,"     ","","TransitoryM","1","2","3",3,1,"A","X",0,2,2,"Transitory","M",1,0,0,0,0,1
"Psi sA toX gTransitoryM c2 a0 o2 t2",370,0.126840416455995,0.0234675290850075,"     ","","TransitoryM","2","0","2",2,2,"A","X",1,0,1,"Transitory","M",1,0,0,0,0,1
"Psi sA toX gTransitoryM c2 a1 o3 t3",371,0.126549389547371,0.0235032432108395,"     ","","TransitoryM","2","1","3",3,2,"A","X",1,1,2,"Transitory","M",1,0,0,0,0,1
"Psi sA toX gTransitoryM c3 a0 o3 t3",372,0.126549389547371,0.0235032432108395,"     ","","TransitoryM","3","0","3",3,3,"A","X",2,0,2,"Transitory","M",1,0,0,0,0,1
"Psi sB toA gTransitoryM c1 a0 o1 t1",373,0.512977303312911,0.0543645181321642,"     ","","TransitoryM","1","0","1",1,1,"B","A",0,0,0,"Transitory","M",0,1,0,1,0,0
"Psi sB toA gTransitoryM c1 a1 o2 t2",374,0.493300405591974,0.0605637673221667,"     ","","TransitoryM","1","1","2",2,1,"B","A",0,1,1,"Transitory","M",0,1,0,1,0,0
"Psi sB toA gTransitoryM c1 a2 o3 t3",375,0.435429530370868,0.098078898812842,"     ","","TransitoryM","1","2","3",3,1,"B","A",0,2,2,"Transitory","M",0,1,0,1,0,0
"Psi sB toA gTransitoryM c2 a0 o2 t2",376,0.493300405591974,0.0605637673221667,"     ","","TransitoryM","2","0","2",2,2,"B","A",1,0,1,"Transitory","M",0,1,0,1,0,0
"Psi sB toA gTransitoryM c2 a1 o3 t3",377,0.435429530370868,0.098078898812842,"     ","","TransitoryM","2","1","3",3,2,"B","A",1,1,2,"Transitory","M",0,1,0,1,0,0
"Psi sB toA gTransitoryM c3 a0 o3 t3",378,0.435429530370868,0.098078898812842,"     ","","TransitoryM","3","0","3",3,3,"B","A",2,0,2,"Transitory","M",0,1,0,1,0,0
"Psi sB toX gTransitoryM c1 a0 o1 t1",379,0.463962671370136,0.043265584866575,"     ","","TransitoryM","1","0","1",1,1,"B","X",0,0,0,"Transitory","M",0,1,0,0,0,1
"Psi sB toX gTransitoryM c1 a1 o2 t2",380,0.446165885617688,0.0358634178932766,"     ","","TransitoryM","1","1","2",2,1,"B","X",0,1,1,"Transitory","M",0,1,0,0,0,1
"Psi sB toX gTransitoryM c1 a2 o3 t3",381,0.393824531006385,0.0691380425213792,"     ","","TransitoryM","1","2","3",3,1,"B","X",0,2,2,"Transitory","M",0,1,0,0,0,1
"Psi sB toX gTransitoryM c2 a0 o2 t2",382,0.446165885617688,0.0358634178932766,"     ","","TransitoryM","2","0","2",2,2,"B","X",1,0,1,"Transitory","M",0,1,0,0,0,1
"Psi sB toX gTransitoryM c2 a1 o3 t3",383,0.393824531006385,0.0691380425213792,"     ","","TransitoryM","2","1","3",3,2,"B","X",1,1,2,"Transitory","M",0,1,0,0,0,1
"Psi sB toX gTransitoryM c3 a0 o3 t3",384,0.393824531006385,0.0691380425213792,"     ","","TransitoryM","3","0","3",3,3,"B","X",2,0,2,"Transitory","M",0,1,0,0,0,1
"Psi sX toA gTransitoryM c1 a0 o1 t1",385,0.138529106356625,0.376472618547607,"     ","","TransitoryM","1","0","1",1,1,"X","A",0,0,0,"Transitory","M",0,0,1,1,0,0
"Psi sX toA gTransitoryM c1 a1 o2 t2",386,0.138529106356625,0.408432092133796,"     ","","TransitoryM","1","1","2",2,1,"X","A",0,1,1,"Transitory","M",0,0,1,1,0,0
"Psi sX toA gTransitoryM c1 a2 o3 t3",387,0.138529106356623,0.121874246889887,"     ","","TransitoryM","1","2","3",3,1,"X","A",0,2,2,"Transitory","M",0,0,1,1,0,0
"Psi sX toA gTransitoryM c2 a0 o2 t2",388,0.138529106356625,0.408432092133796,"     ","","TransitoryM","2","0","2",2,2,"X","A",1,0,1,"Transitory","M",0,0,1,1,0,0
"Psi sX toA gTransitoryM c2 a1 o3 t3",389,0.138529106356623,0.121874246889887,"     ","","TransitoryM","2","1","3",3,2,"X","A",1,1,2,"Transitory","M",0,0,1,1,0,0
"Psi sX toA gTransitoryM c3 a0 o3 t3",390,0.138529106356623,0.121874246889887,"     ","","TransitoryM","3","0","3",3,3,"X","A",2,0,2,"Transitory","M",0,0,1,1,0,0
"Psi sX toB gTransitoryM c1 a0 o1 t1",391,0.861470893643373,0.376611431329686,"     ","","TransitoryM","1","0","1",1,1,"X","B",0,0,0,"Transitory","M",0,0,1,0,1,0
"Psi sX toB gTransitoryM c1 a1 o2 t2",392,0.86147089364337,0.409320712077643,"     ","","TransitoryM","1","1","2",2,1,"X","B",0,1,1,"Transitory","M",0,0,1,0,1,0
"Psi sX toB gTransitoryM c1 a2 o3 t3",393,0.861470893643361,0.117962414546359,"     ","","TransitoryM","1","2","3",3,1,"X","B",0,2,2,"Transitory","M",0,0,1,0,1,0
"Psi sX toB gTransitoryM c2 a0 o2 t2",394,0.86147089364337,0.409320712077643,"     ","","TransitoryM","2","0","2",2,2,"X","B",1,0,1,"Transitory","M",0,0,1,0,1,0
"Psi sX toB gTransitoryM c2 a1 o3 t3",395,0.861470893643361,0.117962414546359,"     ","","TransitoryM","2","1","3",3,2,"X","B",1,1,2,"Transitory","M",0,0,1,0,1,0
"Psi sX toB gTransitoryM c3 a0 o3 t3",396,0.861470893643361,0.117962414546359,"     ","","TransitoryM","3","0","3",3,3,"X","B",2,0,2,"Transitory","M",0,0,1,0,1,0
"Psi sA toB gUnalakleetM c1 a0 o1 t1",397,0.79505593667875,0.0274992533067715,"     ","","UnalakleetM","1","0","1",1,1,"A","B",0,0,0,"Unalakleet","M",1,0,0,0,1,0
"Psi sA toB gUnalakleetM c1 a1 o2 t2",398,0.688670655523675,0.0658755435875143,"     ","","UnalakleetM","1","1","2",2,1,"A","B",0,1,1,"Unalakleet","M",1,0,0,0,1,0
"Psi sA toB gUnalakleetM c1 a2 o3 t3",399,0.470512185287692,0.248225008893087,"     ","","UnalakleetM","1","2","3",3,1,"A","B",0,2,2,"Unalakleet","M",1,0,0,0,1,0
"Psi sA toB gUnalakleetM c2 a0 o2 t2",400,0.688670655523675,0.0658755435875143,"     ","","UnalakleetM","2","0","2",2,2,"A","B",1,0,1,"Unalakleet","M",1,0,0,0,1,0
"Psi sA toB gUnalakleetM c2 a1 o3 t3",401,0.470512185287692,0.248225008893087,"     ","","UnalakleetM","2","1","3",3,2,"A","B",1,1,2,"Unalakleet","M",1,0,0,0,1,0
"Psi sA toB gUnalakleetM c3 a0 o3 t3",402,0.470512185287692,0.248225008893087,"     ","","UnalakleetM","3","0","3",3,3,"A","B",2,0,2,"Unalakleet","M",1,0,0,0,1,0
"Psi sA toX gUnalakleetM c1 a0 o1 t1",403,0.115633318011705,0.0223079496233951,"     ","","UnalakleetM","1","0","1",1,1,"A","X",0,0,0,"Unalakleet","M",1,0,0,0,0,1
"Psi sA toX gUnalakleetM c1 a1 o2 t2",404,0.100160588176155,0.0212981375127193,"     ","","UnalakleetM","1","1","2",2,1,"A","X",0,1,1,"Unalakleet","M",1,0,0,0,0,1
"Psi sA toX gUnalakleetM c1 a2 o3 t3",405,0.0684315152161291,0.0374935250900827,"     ","","UnalakleetM","1","2","3",3,1,"A","X",0,2,2,"Unalakleet","M",1,0,0,0,0,1
"Psi sA toX gUnalakleetM c2 a0 o2 t2",406,0.100160588176155,0.0212981375127193,"     ","","UnalakleetM","2","0","2",2,2,"A","X",1,0,1,"Unalakleet","M",1,0,0,0,0,1
"Psi sA toX gUnalakleetM c2 a1 o3 t3",407,0.0684315152161291,0.0374935250900827,"     ","","UnalakleetM","2","1","3",3,2,"A","X",1,1,2,"Unalakleet","M",1,0,0,0,0,1
"Psi sA toX gUnalakleetM c3 a0 o3 t3",408,0.0684315152161291,0.0374935250900827,"     ","","UnalakleetM","3","0","3",3,3,"A","X",2,0,2,"Unalakleet","M",1,0,0,0,0,1
"Psi sB toA gUnalakleetM c1 a0 o1 t1",409,0.0747600547110364,0.0159098784547498,"     ","","UnalakleetM","1","0","1",1,1,"B","A",0,0,0,"Unalakleet","M",0,1,0,1,0,0
"Psi sB toA gUnalakleetM c1 a1 o2 t2",410,0.0301005375684975,0.0102504888851729,"     ","","UnalakleetM","1","1","2",2,1,"B","A",0,1,1,"Unalakleet","M",0,1,0,1,0,0
"Psi sB toA gUnalakleetM c1 a2 o3 t3",411,0.00980249636627419,0.010259554106131,"     ","","UnalakleetM","1","2","3",3,1,"B","A",0,2,2,"Unalakleet","M",0,1,0,1,0,0
"Psi sB toA gUnalakleetM c2 a0 o2 t2",412,0.0301005375684975,0.0102504888851729,"     ","","UnalakleetM","2","0","2",2,2,"B","A",1,0,1,"Unalakleet","M",0,1,0,1,0,0
"Psi sB toA gUnalakleetM c2 a1 o3 t3",413,0.00980249636627419,0.010259554106131,"     ","","UnalakleetM","2","1","3",3,2,"B","A",1,1,2,"Unalakleet","M",0,1,0,1,0,0
"Psi sB toA gUnalakleetM c3 a0 o3 t3",414,0.00980249636627419,0.010259554106131,"     ","","UnalakleetM","3","0","3",3,3,"B","A",2,0,2,"Unalakleet","M",0,1,0,1,0,0
"Psi sB toX gUnalakleetM c1 a0 o1 t1",415,0.0676167734209516,0.0156435475168349,"     ","","UnalakleetM","1","0","1",1,1,"B","X",0,0,0,"Unalakleet","M",0,1,0,0,0,1
"Psi sB toX gUnalakleetM c1 a1 o2 t2",416,0.0272244481344173,0.010306871465187,"     ","","UnalakleetM","1","1","2",2,1,"B","X",0,1,1,"Unalakleet","M",0,1,0,0,0,1
"Psi sB toX gUnalakleetM c1 a2 o3 t3",417,0.00886587380943144,0.00958073466738753,"     ","","UnalakleetM","1","2","3",3,1,"B","X",0,2,2,"Unalakleet","M",0,1,0,0,0,1
"Psi sB toX gUnalakleetM c2 a0 o2 t2",418,0.0272244481344173,0.010306871465187,"     ","","UnalakleetM","2","0","2",2,2,"B","X",1,0,1,"Unalakleet","M",0,1,0,0,0,1
"Psi sB toX gUnalakleetM c2 a1 o3 t3",419,0.00886587380943144,0.00958073466738753,"     ","","UnalakleetM","2","1","3",3,2,"B","X",1,1,2,"Unalakleet","M",0,1,0,0,0,1
"Psi sB toX gUnalakleetM c3 a0 o3 t3",420,0.00886587380943144,0.00958073466738753,"     ","","UnalakleetM","3","0","3",3,3,"B","X",2,0,2,"Unalakleet","M",0,1,0,0,0,1
"Psi sX toA gUnalakleetM c1 a0 o1 t1",421,0.138529106356558,0.832825150902319,"     ","","UnalakleetM","1","0","1",1,1,"X","A",0,0,0,"Unalakleet","M",0,0,1,1,0,0
"Psi sX toA gUnalakleetM c1 a1 o2 t2",422,0.138529106356442,0.0994650360223844,"     ","","UnalakleetM","1","1","2",2,1,"X","A",0,1,1,"Unalakleet","M",0,0,1,1,0,0
"Psi sX toA gUnalakleetM c1 a2 o3 t3",423,0.138529106356043,0.191478103965949,"     ","","UnalakleetM","1","2","3",3,1,"X","A",0,2,2,"Unalakleet","M",0,0,1,1,0,0
"Psi sX toA gUnalakleetM c2 a0 o2 t2",424,0.138529106356442,0.0994650360223844,"     ","","UnalakleetM","2","0","2",2,2,"X","A",1,0,1,"Unalakleet","M",0,0,1,1,0,0
"Psi sX toA gUnalakleetM c2 a1 o3 t3",425,0.138529106356043,0.191478103965949,"     ","","UnalakleetM","2","1","3",3,2,"X","A",1,1,2,"Unalakleet","M",0,0,1,1,0,0
"Psi sX toA gUnalakleetM c3 a0 o3 t3",426,0.138529106356043,0.191478103965949,"     ","","UnalakleetM","3","0","3",3,3,"X","A",2,0,2,"Unalakleet","M",0,0,1,1,0,0
"Psi sX toB gUnalakleetM c1 a0 o1 t1",427,0.861470893642956,0.833074831882981,"     ","","UnalakleetM","1","0","1",1,1,"X","B",0,0,0,"Unalakleet","M",0,0,1,0,1,0
"Psi sX toB gUnalakleetM c1 a1 o2 t2",428,0.861470893642235,0.0884976891955034,"     ","","UnalakleetM","1","1","2",2,1,"X","B",0,1,1,"Unalakleet","M",0,0,1,0,1,0
"Psi sX toB gUnalakleetM c1 a2 o3 t3",429,0.861470893639754,0.188766513237334,"     ","","UnalakleetM","1","2","3",3,1,"X","B",0,2,2,"Unalakleet","M",0,0,1,0,1,0
"Psi sX toB gUnalakleetM c2 a0 o2 t2",430,0.861470893642235,0.0884976891955034,"     ","","UnalakleetM","2","0","2",2,2,"X","B",1,0,1,"Unalakleet","M",0,0,1,0,1,0
"Psi sX toB gUnalakleetM c2 a1 o3 t3",431,0.861470893639754,0.188766513237334,"     ","","UnalakleetM","2","1","3",3,2,"X","B",1,1,2,"Unalakleet","M",0,0,1,0,1,0
"Psi sX toB gUnalakleetM c3 a0 o3 t3",432,0.861470893639754,0.188766513237334,"     ","","UnalakleetM","3","0","3",3,3,"X","B",2,0,2,"Unalakleet","M",0,0,1,0,1,0
