tag.ID,capture.date,stat.week,tag.group,card.no,fish.no,swim.dir,time.in,sex,length,time.out,species,notes,age,lat,long,mesh.size,secchi.dis,secchi.re,air.temp,water.temp,wind.sp,wind.dir,cloud.cov
15,7/30/2020,31,1,1,1,S,13:01,M,540,13:12,coho,,3,63.97997,-160.88122,8-Jul,0.5,0.4,56,56,12,SE,100
35,7/30/2020,31,1,1,2,N,13:16,M,534,13:20,coho,,2.1,63.97997,-160.88122,8-Jul,0.5,0.4,56,56,12,SE,100
55,7/31/2020,31,1,2,1,S,10:01,M,499,10:07,coho,,2.1,63.82572,-160.76588,8-Jul,0.5,0.4,59,58,5,E,99
75,8/4/2020,32,1,3,1,S,9:28,F,558,9:33,coho,,1.1,63.91225,-160.81984,8-May,0.4,0.3,58,58,2,S,87
95,8/4/2020,32,1,3,2,S,10:28,M,479,10:38,coho,,2.1,63.91225,-160.81984,8-May,0.4,0.3,58,58,2,S,87
110,8/4/2021,32,1,1,1,N,0.63125,M,524,0.635416667,coho,,,63.95464,-160.85338,5-7/8 in,1.6,0.8,75,NA,10,E,89
115,8/4/2020,32,1,3,3,S,11:31,F,522,11:35,coho,,3,63.91225,-160.81984,8-May,0.4,0.3,58,58,2,S,87
130,8/4/2021,32,1,1,2,N,0.632638889,M,559,0.638194444,coho,,,63.95464,-160.85338,5-7/8 in,1.6,0.8,75,NA,10,E,89
135,8/5/2020,32,1,4,1,S,12:37,M,512,12:41,coho,,1.1,65.85706,-160.78398,8-May,0.4,0.2,NA,NA,1,W,89
150,8/4/2021,32,1,1,3,N,0.655555556,M,421,0.655555556,coho,,,63.95464,-160.85338,5-7/8 in,1.6,0.8,75,NA,10,E,89
155,8/5/2020,32,1,4,2,N,14:18,F,529,14:26,coho,,2.1,64.01717,-160.91177,8-May,0.7,0.5,NA,NA,7,NW,75
170,8/8/2021,33,1,2,1,,0.541666667,F,560,0.547916667,coho,,,64.04228,-160.93012,5-5/8 in,1,1.75,75,56.13,0,,100
175,8/5/2020,32,1,4,3,N,14:18,M,583,14:30,coho,,2.1,64.01717,-160.91177,8-May,0.7,0.5,NA,NA,7,NW,75
190,8/8/2021,33,1,2,2,N,0.553472222,F,548,0.559027778,coho,,,64.04228,-160.93012,5-5/8 in,1,1.75,75,56.13,0,,100
195,8/5/2020,32,1,4,4,N,14:33,M,524,14:38,coho,,2.1,64.01717,-160.91177,8-May,0.7,0.5,NA,NA,7,NW,75
210,8/8/2021,33,1,2,3,S,0.58125,M,568,0.5875,coho,,,64.04228,-160.93012,5-5/8 in,1,1.75,75,56.13,0,,100
215,8/5/2020,32,1,4,5,N,14:43,M,543,14:47,coho,,2.1,64.01717,-160.91177,8-May,0.7,0.5,NA,NA,7,NW,75
230,8/8/2021,33,1,2,4,S,0.594444444,F,576,0.597222222,coho,,,64.04228,-160.93012,5-5/8 in,1,1.75,75,56.13,0,,100
235,8/5/2020,32,1,4,6,S,15:12,M,505,15:16,coho,,2.1,64.01717,-160.91177,8-May,0.7,0.5,NA,NA,7,NW,75
250,8/8/2021,33,1,2,5,S,0.614583333,F,514,0.619444444,coho,,,64.04228,-160.93012,5-5/8 in,1,1.75,75,56.13,0,,100
255,8/5/2020,32,1,4,7,N,15:12,F,475,15:23,coho,,2.1,64.01717,-160.91177,8-May,0.7,0.5,NA,NA,7,NW,75
270,8/8/2021,33,1,2,6,N,0.623611111,M,583,0.628472222,coho,,,64.04228,-160.93012,5-5/8 in,1,1.75,75,56.13,0,,100
275,8/5/2020,32,1,4,8,N,15:15,M,515,15:28,coho,,2.1,64.01717,-160.91177,8-May,0.7,0.5,NA,NA,7,NW,75
290,8/8/2021,33,1,2,7,N,0.629861111,M,497,0.634027778,coho,,,64.04228,-160.93012,5-5/8 in,1,1.75,75,56.13,0,,100
295,8/5/2020,32,1,4,9,N,15:41,M,520,15:45,coho,,2.1,64.01717,-160.91177,8-May,0.7,0.5,NA,NA,7,NW,75
310,8/8/2021,33,1,2,8,S,0.636111111,M,544,0.640277778,coho,,,64.04228,-160.93012,5-5/8 in,1,1.75,75,56.13,0,,100
315,8/5/2020,32,1,4,10,N,15:45,M,524,15:53,coho,,1.1,64.01717,-160.91177,8-May,0.7,0.5,NA,NA,7,NW,75
330,8/8/2021,33,1,2,9,N,0.645833333,M,544,0.647222222,coho,,,64.04228,-160.93012,5-5/8 in,1,1.75,75,56.13,0,,100
335,8/5/2020,32,1,5,1,S,15:48,M,470,15:58,coho,,3,64.01717,-160.91177,8-May,0.7,0.5,NA,NA,7,NW,75
350,8/8/2021,33,1,2,10,N,0.656944444,M,533,0.660416667,coho,,,64.04228,-160.93012,5-5/8 in,1,1.75,75,56.13,0,,100
355,8/5/2020,32,1,5,2,N,15:48,M,464,16:06,coho,,2.1,64.01717,-160.91177,8-May,0.7,0.5,NA,NA,7,NW,75
370,8/9/2021,33,1,3,1,N,0.511111111,M,507,0.515972222,coho,,,64.00259,-160.90355,5-5/8 in,0.75,0.5,NA,52.06,0,,100
375,8/5/2020,32,1,5,3,N,16:02,M,575,16:09,coho,,2.1,64.01717,-160.91177,8-May,0.7,0.5,NA,NA,7,NW,75
390,8/9/2021,33,1,3,2,N,0.525694444,F,466,0.529861111,coho,,,64.00259,-160.90355,5-5/8 in,0.75,0.5,NA,52.06,0,,100
395,8/5/2020,32,1,5,4,S,16:03,M,498,16:12,coho,,1.1,64.01717,-160.91177,8-May,0.7,0.5,NA,NA,7,NW,75
410,8/9/2021,33,1,3,3,N,0.571527778,F,517,0.575694444,coho,,,64.00259,-160.90355,5-5/8 in,0.75,0.5,NA,52.06,0,,100
415,8/5/2020,32,1,5,5,S,16:15,M,528,16:31,coho,,2.1,64.01717,-160.91177,8-May,0.7,0.5,NA,NA,7,NW,75
430,8/9/2021,33,1,3,4,N,0.581944444,F,519,0.585416667,coho,,,64.00259,-160.90355,5-5/8 in,0.75,0.5,NA,52.06,0,,100
435,8/5/2020,32,1,5,6,N,16:17,M,499,16:27,coho,,2.1,64.01717,-160.91177,8-May,0.7,0.5,NA,NA,7,NW,75
450,8/9/2021,33,1,3,5,N,0.59375,F,457,0.599305556,coho,,,64.00259,-160.90355,5-5/8 in,0.75,0.5,NA,52.06,0,,100
455,8/5/2020,32,1,5,7,S,16:20,F,576,16:35,coho,,3,64.01717,-160.91177,8-May,0.7,0.5,NA,NA,7,NW,75
470,8/9/2021,33,1,3,6,N,0.634722222,F,566,0.638888889,coho,,,63.954632,-160.854024,5-5/8 in,0.75,1.65,NA,NA,NA,,100
475,8/6/2020,32,1,6,1,S,12:00,F,519,12:03,coho,,1.1,64.03183,-160.92131,8-May,2.2,2.1,56,57,7,E,95
490,8/9/2021,33,1,3,7,N,0.654166667,M,528,0.656944444,coho,,,63.954632,-160.854024,5-5/8 in,0.75,1.65,NA,NA,NA,,100
495,8/6/2020,32,1,6,2,N,12:20,M,517,12:26,coho,,2.1,64.01718,-160.91241,8-May,2.2,2.1,59,57,5,NW,60
510,8/9/2021,33,1,3,8,S,0.659722222,F,555,0.663888889,coho,,,63.954632,-160.854024,5-5/8 in,0.75,1.65,NA,NA,NA,,100
515,8/6/2020,32,1,6,3,S,12:52,F,584,12:57,coho,,2.1,64.01718,-160.91241,8-May,2.2,2.1,59,57,5,NW,60
530,8/9/2021,33,1,3,9,S,0.660416667,F,516,0.6625,coho,,,63.954632,-160.854024,5-5/8 in,0.75,1.65,NA,NA,NA,,100
535,8/6/2020,32,1,6,4,N,13:09,M,515,13:14,coho,,1.1,64.01718,-160.91241,8-May,2.2,2.1,59,57,5,NW,60
550,8/9/2021,33,1,3,10,S,0.66875,M,572,0.686805556,coho,,,63.954632,-160.854024,5-5/8 in,0.75,1.65,NA,NA,NA,,100
555,8/6/2020,32,1,6,5,N,13:23,F,561,13:29,coho,,2.1,64.01718,-160.91241,8-May,2.2,2.1,59,57,5,NW,60
570,8/9/2021,33,1,3,1,S,0.671527778,M,572,0.686805556,coho,,,63.954632,-160.854024,5-5/8 in,0.75,1.65,NA,NA,NA,,100
575,8/6/2020,32,1,6,6,N,13:34,M,515,13:38,coho,,1.1,64.01718,-160.91241,8-May,2.2,2.1,59,57,5,NW,60
590,8/10/2021,33,1,5,1,N,0.44375,M,516,0.447916667,coho,card no. should be 4,,63.95564,-160.85443,5-5/8 in,0.5,0.25,NA,50.02,6,NW,90
595,8/6/2020,32,1,6,7,N,13:34,M,528,13:41,coho,,2.1,64.01718,-160.91241,8-May,2.2,2.1,59,57,5,NW,60
610,8/10/2021,33,1,5,2,N,0.463194444,F,504,0.466666667,coho,,,63.95564,-160.85443,5-5/8 in,0.5,0.25,NA,50.02,6,NW,90
615,8/6/2020,32,1,6,8,N,13:34,M,519,13:44,coho,,2.1,64.01718,-160.91241,8-May,2.2,2.1,59,57,5,NW,60
630,8/10/2021,33,1,5,3,S,0.5,M,501,0.505555556,coho,,,63.95564,-160.85443,5-5/8 in,0.5,0.25,NA,50.02,6,NW,90
635,8/6/2020,32,1,6,9,N,13:34,M,611,13:47,coho,,3,64.01718,-160.91241,8-May,2.2,2.1,59,57,5,NW,60
650,8/10/2021,33,1,5,4,N,0.541666667,F,538,0.547222222,coho,,,63.95564,-160.85443,5-5/8 in,0.5,0.25,NA,50.02,6,NW,90
655,8/6/2020,32,1,6,10,N,13:34,F,536,13:49,coho,,2.1,64.01718,-160.91241,8-May,2.2,2.1,59,57,5,NW,60
670,8/10/2021,33,1,5,5,N,0.551388889,F,562,0.554166667,coho,,,63.95564,-160.85443,5-5/8 in,0.5,0.25,NA,50.02,6,NW,90
675,8/6/2020,32,1,7,1,N,13:55,M,543,13:58,coho,,3.1,64.01718,-160.91241,8-May,2.2,2.1,59,57,5,NW,60
690,8/10/2021,33,1,5,6,S,0.581944444,M,470,0.588194444,coho,,,63.91186,-160.81835,5-5/8 in,0.75,0.5,NA,50.02,2.5,NW,25
695,8/6/2020,32,1,7,2,N,14:12,F,547,14:16,coho,,3.1,64.01718,-160.91241,8-May,2.2,2.1,59,57,5,NW,60
710,8/10/2021,33,1,5,7,,0.601388889,M,568,0.605555556,coho,,,63.91186,-160.81835,5-5/8 in,0.75,0.5,NA,50.02,2.5,NW,25
715,8/6/2020,32,1,7,3,N,14:26,M,489,14:30,coho,,2.1,64.01718,-160.91241,8-May,2.2,2.1,59,57,5,NW,60
730,8/12/2021,33,1,6,1,S,0.409722222,F,565,0.413194444,coho,,,63.91186,-160.81835,5-5/8 in,0.5,0.25,NA,50.02,10,NW,0
735,8/6/2020,32,1,7,4,N,14:41,M,543,14:45,coho,,2.1,64.01718,-160.91241,8-May,2.2,2.1,59,57,5,NW,60
750,8/12/2021,33,1,6,2,S,0.423611111,M,516,0.426388889,coho,,,63.91186,-160.81835,5-5/8 in,0.5,0.25,NA,50.02,10,NW,0
755,8/6/2020,32,1,7,5,N,15:00,M,418,15:04,sockeye,,7,64.02528,-160.94028,8-May,2.2,2.1,59,57,5,NW,60
770,8/12/2021,33,1,6,3,S,0.424305556,M,548,0.427777778,coho,,,63.91186,-160.81835,5-5/8 in,0.5,0.25,NA,50.02,10,NW,0
775,8/6/2020,32,1,7,6,N,15:11,M,564,15:15,coho,,2.1,64.01718,-160.91241,8-May,2.2,2.1,59,57,5,NW,60
790,8/12/2021,33,1,6,4,N,0.429861111,M,549,0.431944444,coho,,,63.91186,-160.81835,5-5/8 in,0.5,0.25,NA,50.02,10,NW,0
795,8/6/2020,32,1,7,7,S,15:19,M,435,15:37,sockeye,,7,64.02528,-160.94028,8-May,2.2,2.1,59,57,5,NW,60
810,8/17/2021,34,1,7,5,S,0.479166667,F,570,0.484027778,coho,,,63.94366,-160.84396,5-5/8 in,0.75,0.5,51,52,3.5,N,50
815,8/3/2020,32,1,NA,1,S,14:25,F,543,14:30,coho,,3,63.95282,-160.85172,8-May,2.2,2.1,65,59,15,NW,60
830,8/17/2021,34,1,7,4,S,0.471527778,M,544,0.476388889,coho,,,63.94366,-160.84396,5-5/8 in,0.75,0.5,51,52,3.5,N,50
835,8/3/2020,32,1,NA,2,S,14:48,M,585,14:51,coho,,3,63.95282,-160.85172,8-May,2.2,2.1,65,59,15,NW,60
850,8/17/2021,34,1,7,3,S,0.446527778,M,567,0.450694444,coho,,,63.94366,-160.84396,5-5/8 in,0.75,0.5,51,52,3.5,N,50
855,8/6/2020,32,1,7,8,N,15:30,F,551,15:38,coho,,2.1,64.01718,-160.91241,8-May,2.2,2.1,59,57,5,NW,60
870,8/17/2021,34,1,7,2,S,0.429861111,F,561,0.433333333,coho,,,63.94366,-160.84396,5-5/8 in,0.75,0.5,51,52,3.5,N,50
875,8/6/2020,32,1,7,9,N,15:32,M,544,15:38,coho,,3,64.01718,-160.91241,8-May,2.2,2.1,59,57,5,NW,60
890,8/17/2021,34,1,7,1,S,0.415972222,M,596,0.420138889,coho,,,63.94366,-160.84396,5-5/8 in,0.75,0.5,51,52,3.5,N,50
895,8/7/2020,32,1,8,1,S,10:11,F,533,10:26,coho,,1.1,64.0169,-160.91451,8-May,0.8,0.5,60,58,7,S,85
910,8/17/2021,34,2,7,6,S,0.479166667,M,566,0.485416667,coho,,,63.94366,-160.84396,5-5/8 in,0.75,0.5,51,52,3.5,N,50
915,8/7/2020,32,1,8,2,N,10:12,F,576,10:26,coho,,2.1,64.0169,-160.91451,8-May,0.8,0.5,60,58,7,S,85
930,8/17/2021,34,2,7,7,S,0.485416667,M,543,0.488194444,coho,,,63.94366,-160.84396,5-5/8 in,0.75,0.5,51,52,3.5,N,50
935,8/7/2020,32,1,8,3,N,10:15,M,405,10:28,coho,,2.1,64.0169,-160.91451,8-May,0.8,0.5,60,58,7,S,85
950,8/17/2021,34,2,7,8,S,0.498611111,M,430,0.500694444,coho,,,63.94366,-160.84396,5-5/8 in,0.75,0.5,51,52,3.5,N,50
955,8/7/2020,32,1,8,4,N,10:17,F,505,10:31,coho,,1.1,64.0169,-160.91451,8-May,0.8,0.5,60,58,7,S,85
970,8/17/2021,34,2,7,9,S,0.498611111,M,494,0.502083333,coho,,,63.94366,-160.84396,5-5/8 in,0.75,0.5,51,52,3.5,N,50
975,8/7/2020,32,1,8,5,N,10:50,M,599,10:55,coho,,2.1,64.0169,-160.91451,8-May,0.8,0.5,60,58,7,S,85
990,8/17/2021,34,2,7,10,S,0.513888889,F,551,0.51875,coho,,,63.94366,-160.84396,5-5/8 in,0.75,0.5,51,52,3.5,N,50
995,8/7/2020,32,1,8,6,N,11:02,M,501,11:05,coho,,2.1,64.0169,-160.91451,8-May,0.8,0.5,60,58,7,S,85
1010,8/17/2021,34,2,8,1,S,0.519444444,M,553,0.521527778,coho,,,63.94366,-160.84396,5-5/8 in,0.75,0.5,51,52,3.5,N,50
1015,8/7/2020,32,1,8,7,S,11:09,M,568,11:12,coho,,3.1,64.0169,-160.91451,8-May,0.8,0.5,60,58,7,S,85
1030,8/17/2021,34,2,8,2,S,0.524305556,M,526,0.528472222,coho,,,63.94366,-160.84396,5-5/8 in,0.75,0.5,51,52,3.5,N,50
1035,8/7/2020,32,1,8,8,N,11:10,M,612,11:17,coho,,1.1,64.0169,-160.91451,8-May,0.8,0.5,60,58,7,S,85
1050,8/17/2021,34,2,8,3,S,0.538888889,M,525,0.542361111,coho,,,63.94366,-160.84396,5-5/8 in,0.75,0.5,51,52,3.5,N,50
1055,8/7/2020,32,1,8,9,N,11:33,F,554,11:38,coho,,2.1,64.0169,-160.91451,8-May,0.8,0.5,60,58,7,S,85
1070,8/17/2021,34,2,8,4,S,0.54375,M,515,0.547916667,coho,,,63.94366,-160.84396,5-5/8 in,0.75,0.5,51,52,3.5,N,50
1075,8/7/2020,32,1,8,10,N,11:45,F,509,11:52,coho,,3,64.0169,-160.91451,8-May,0.8,0.5,60,58,7,S,85
1090,8/22/2021,35,2,9,1,N,0.396527778,F,533,0.400694444,coho,,,63.89247,-160.80774,5-5/8 in,0.5,0.1,44,NA,13,E,85
1095,8/7/2020,32,1,9,1,N,12:04,M,557,12:09,coho,,1.1,64.0169,-160.91451,8-May,0.8,0.5,60,58,7,S,85
1110,8/22/2021,35,2,9,2,S,0.413194444,F,556,0.416666667,coho,,,63.93864,-160.80104,5-5/8 in,0.5,0.1,48,NA,3.5,E,100
1115,8/7/2020,32,1,9,2,S,12:33,M,534,12:38,coho,,2.1,64.0169,-160.91451,8-May,0.8,0.5,60,58,7,S,85
1130,8/22/2021,35,2,9,3,S,0.444444444,M,551,0.479166667,coho,,,63.93864,-160.80104,5-5/8 in,0.5,0.1,48,NA,3.5,E,100
1135,8/7/2020,32,1,9,3,N,12:33,M,549,12:41,coho,,2.1,64.0169,-160.91451,8-May,0.8,0.5,60,58,7,S,85
1150,8/22/2021,35,2,9,4,N,0.478472222,M,554,0.484027778,coho,,,63.98006,-160.88265,5-5/8 in,1,0.5,50,NA,2,E,100
1155,8/7/2020,32,1,9,4,S,12:43,M,506,12:52,coho,,1.1,64.0169,-160.91451,8-May,0.8,0.5,60,58,7,S,85
1170,8/22/2021,35,2,9,5,N,0.515972222,M,495,0.51875,coho,,,63.98006,-160.88265,5-5/8 in,1,0.5,50,NA,2,E,100
1175,8/7/2020,32,1,9,5,N,12:44,M,481,12:52,coho,,2.1,64.0169,-160.91451,8-May,0.8,0.5,60,58,7,S,85
1190,8/23/2021,35,2,10,1,S,0.450694444,M,537,0.454861111,coho,,,64.07451,-160.94801,5-5/8 in,1.5,1,49,NA,3,E,75
1195,8/7/2020,32,1,9,6,N,12:45,M,536,12:53,coho,,2.1,64.0169,-160.91451,8-May,0.8,0.5,60,58,7,S,85
1210,8/22/2021,35,2,9,5,S,0.513888889,F,537,0.522222222,coho,,,63.98006,-160.88265,5-5/8 in,1,0.5,50,NA,2,E,100
1215,8/7/2020,32,1,9,7,N,13:22,F,570,13:27,coho,,2.1,64.0169,-160.91451,8-May,0.8,0.5,60,58,7,S,85
1230,8/23/2021,35,2,10,2,S,0.502083333,M,551,0.506944444,coho,,,64.03472,-160.92481,5-5/8 in,1.5,1,54,NA,3,E,90
1235,8/7/2020,32,1,9,8,N,13:57,M,580,14:01,coho,,4,64.0169,-160.91451,8-May,0.8,0.5,60,58,7,S,85
1250,8/23/2021,35,2,10,3,N,0.503472222,F,532,0.508333333,coho,,,64.03472,-160.92481,5-5/8 in,1.5,1,54,NA,3,E,90
1255,8/7/2020,32,1,9,9,N,14:37,F,541,14:41,coho,,2.1,64.0169,-160.91451,8-May,0.8,0.5,60,58,7,S,85
1270,8/23/2021,35,2,10,4,S,0.510416667,M,517,0.513888889,coho,,,64.03472,-160.92481,5-5/8 in,1.5,1,54,NA,3,E,90
1275,8/7/2020,32,1,9,10,S,14:57,M,499,15:07,coho,,2.1,64.0169,-160.91451,8-May,0.8,0.5,60,58,7,S,85
1290,8/23/2021,35,2,10,5,S,0.510416667,M,540,0.515277778,coho,,,64.03472,-160.92481,5-5/8 in,1.5,1,54,NA,3,E,90
1295,8/7/2020,32,1,10,1,S,14:58,M,537,15:11,coho,,3,64.0169,-160.91451,8-May,0.8,0.5,60,58,7,S,85
1310,8/23/2021,35,2,10,6,S,0.510416667,M,559,0.517361111,coho,,,64.03472,-160.92481,5-5/8 in,1.5,1,54,NA,3,E,90
1315,8/7/2020,32,1,10,2,S,14:58,M,542,15:14,coho,,2.1,64.0169,-160.91451,8-May,0.8,0.5,60,58,7,S,85
1330,8/23/2021,35,2,10,7,S,0.511111111,M,567,0.518055556,coho,,,64.03472,-160.92481,5-5/8 in,1.5,1,54,NA,3,E,90
1335,8/7/2020,32,1,10,3,S,14:59,M,544,15:18,coho,,3.1,64.0169,-160.91451,8-May,0.8,0.5,60,58,7,S,85
1350,8/23/2021,35,2,10,8,S,0.526388889,M,528,0.53125,coho,,,64.03472,-160.92481,5-5/8 in,1.5,1,54,NA,3,E,90
1355,8/7/2020,32,1,10,4,S,14:59,F,523,15:21,coho,,1.1,64.0169,-160.91451,8-May,0.8,0.5,60,58,7,S,85
1370,8/23/2021,35,2,10,9,S,0.533333333,M,560,0.536805556,coho,,,64.03472,-160.92481,5-5/8 in,1.5,1,54,NA,3,E,90
1375,8/7/2020,32,1,10,5,S,15:24,M,543,15:29,coho,,2.1,64.0169,-160.91451,8-May,0.8,0.5,60,58,7,S,85
1390,8/23/2021,35,2,10,10,N,0.550694444,F,554,0.554166667,coho,,,64.03472,-160.92481,5-5/8 in,1.5,1,54,NA,3,E,90
1395,8/7/2020,32,1,10,6,S,15:24,M,485,15:30,coho,,2.1,64.0169,-160.91451,8-May,0.8,0.5,60,58,7,S,85
1410,8/23/2021,35,2,11,11,N,0.554166667,F,556,0.555555556,coho,11th scale on card 10,,64.03472,-160.92481,5-5/8 in,1.5,1,54,NA,3,E,90
1415,8/7/2020,32,1,10,7,S,15:25,M,493,15:33,coho,,2.1,64.0169,-160.91451,8-May,0.8,0.5,60,58,7,S,85
1430,8/23/2021,35,2,11,1,N,0.556944444,M,531,0.559722222,coho,,,64.03472,-160.92481,5-5/8 in,1.5,1,54,NA,3,E,90
1435,8/7/2020,32,1,10,8,N,16:00,M,517,16:08,coho,,1.1,64.0169,-160.91451,8-May,0.8,0.5,60,58,7,S,85
1450,8/23/2021,35,2,11,2,N,0.563888889,F,545,0.567361111,coho,,,64.03472,-160.92481,5-5/8 in,1.5,1,54,NA,3,E,90
1455,8/10/2020,33,1,11,1,S,11:44,F,526,11:51,coho,,2.1,64.01728,-160.91138,8-May,1,0.7,59,56,5,SE,30
1470,8/23/2021,35,2,11,3,S,0.576388889,F,562,0.578472222,coho,,,64.03472,-160.92481,5-5/8 in,1.5,1,54,NA,3,E,90
1475,8/10/2020,33,1,11,2,N,11:48,M,584,11:53,coho,,2.1,64.01728,-160.91138,8-May,1,0.7,59,56,5,SE,30
1490,8/23/2021,35,2,11,4,N,0.579861111,F,591,0.588194444,coho,gash on right side,,64.03472,-160.92481,5-5/8 in,1.5,1,54,NA,3,E,90
1495,8/10/2020,33,1,11,3,N,12:06,F,455,12:10,coho,,2.1,64.01728,-160.91138,8-May,1,0.7,59,56,5,SE,30
1510,8/23/2021,35,2,11,5,N,0.581944444,F,578,0.588194444,coho,,,64.03472,-160.92481,5-5/8 in,1.5,1,54,NA,3,E,90
1515,8/10/2020,33,1,11,4,S,13:03,F,483,13:08,coho,,2.1,64.01728,-160.91138,8-May,1,0.7,59,56,5,SE,30
1530,8/23/2021,35,2,11,6,N,0.586111111,F,582,0.588888889,coho,,,64.03472,-160.92481,5-5/8 in,1.5,1,54,NA,3,E,90
1535,8/10/2020,33,1,11,5,N,13:17,F,533,13:22,coho,,3.1,64.02448,-160.91692,8-May,1.3,1.1,NA,NA,7,SE,50
1550,8/23/2021,35,2,11,7,,0.590972222,M,595,0.604166667,coho,,,64.03472,-160.92481,5-5/8 in,1.5,1,54,NA,3,E,90
1555,8/10/2020,33,1,11,6,S,13:37,M,613,13:41,coho,,4,64.02448,-160.91692,8-May,1.3,1.1,NA,NA,7,SE,50
